file,filesize,rand1,rand2,rand3,particle,par1,thetap,phip,zero,par5,height,model_grid,disk,PRPAR,energy,theta,filename,filepath,filesuffix,number,model_interaction,model_atmosphere
/DATA8/DataBase/Sb/atm11/0402/10PeV/30/CLOUT4w_Sb_atm11_0402_10PeV_30_015.gz,597122438,68,109,120,402,2662637.3082785974,0.5235987755982989,5.772842362840344,0,7777,1957599.823978612,ssf,DATA8,402,10,30,CLOUT4w_Sb_atm11_0402_10PeV_30_015.gz,Sb/atm11/0402/10PeV/30,Sb_atm11_0402_10PeV_30_015,15,Sb,11
/DATA8/DataBase/Sb/atm08/5626/10PeV/30/CLOUT4w_Sb_atm08_5626_10PeV_30_057.gz,607902843,110,151,162,5626,190179.02325487605,0.5235987755982989,3.6933299921728704,0,10728,2939631.621723628,ssf,DATA8,5626,10,30,CLOUT4w_Sb_atm08_5626_10PeV_30_057.gz,Sb/atm08/5626/10PeV/30,Sb_atm08_5626_10PeV_30_057,57,Sb,08
/DATA8/DataBase/Sb/atm08/1407/10PeV/20/CLOUT4w_Sb_atm08_1407_10PeV_20_041.gz,677178689,94,135,146,1407,760753.5166510278,0.3490658503988657,3.880370144147301,0,10728,2765031.523040007,ssf,DATA8,1407,10,20,CLOUT4w_Sb_atm08_1407_10PeV_20_041.gz,Sb/atm08/1407/10PeV/20,Sb_atm08_1407_10PeV_20_041,41,Sb,08
/DATA9/DataBase/Sb/atm01/0402/10PeV/05/CLOUT4w_Sb_atm01_0402_10PeV_05_069.gz,838217820,122,163,174,402,2662637.3082785974,0.08726646259971634,6.198957837778163,0,10728,1934427.433936592,ssf,DATA9,402,10,5,CLOUT4w_Sb_atm01_0402_10PeV_05_069.gz,Sb/atm01/0402/10PeV/05,Sb_atm01_0402_10PeV_05_069,69,Sb,01
/DATA8/DataBase/Sb/atm08/1407/10PeV/05/CLOUT4w_Sb_atm08_1407_10PeV_05_066.gz,859166799,119,160,171,1407,760753.5166510278,0.08726646259971634,2.5074893533216374,0,10728,4376301.809991201,ssf,DATA8,1407,10,5,CLOUT4w_Sb_atm08_1407_10PeV_05_066.gz,Sb/atm08/1407/10PeV/05,Sb_atm08_1407_10PeV_05_066,66,Sb,08
/DATA9/DataBase/Sb/atm04/0014/10PeV/25/CLOUT4w_Sb_atm04_0014_10PeV_25_032.gz,611740280,85,126,137,14,10657889.681356275,0.4363323129985824,3.790575128292944,0,10728,2457009.120206475,ssf,DATA9,14,10,25,CLOUT4w_Sb_atm04_0014_10PeV_25_032.gz,Sb/atm04/0014/10PeV/25,Sb_atm04_0014_10PeV_25_032,32,Sb,04
/DATA9/DataBase/Sb/atm01/5626/10PeV/10/CLOUT4w_Sb_atm01_5626_10PeV_10_051.gz,837372004,104,145,156,5626,190179.02325487605,0.1745329251994331,2.26428493810804,0,10728,2525239.0818519187,ssf,DATA9,5626,10,10,CLOUT4w_Sb_atm01_5626_10PeV_10_051.gz,Sb/atm01/5626/10PeV/10,Sb_atm01_5626_10PeV_10_051,51,Sb,01
/DATA8/DataBase/Sb/atm11/1407/10PeV/10/CLOUT4w_Sb_atm11_1407_10PeV_10_094.gz,835481247,147,188,199,1407,760753.5166510278,0.1745329251994331,5.313840954443825,0,7777,2399723.0168030327,ssf,DATA8,1407,10,10,CLOUT4w_Sb_atm11_1407_10PeV_10_094.gz,Sb/atm11/1407/10PeV/10,Sb_atm11_1407_10PeV_10_094,94,Sb,11
